{'detection': 0.07668495178222656, 'recognition': 7.62939453125e-06}
0.46642553428866323
{'detection': 0.07839727401733398, 'recognition': 0.06421279907226562}
{'detection': 0.11227917671203613, 'recognition': 6.198883056640625e-06}
0.5881338596057247
{'detection': 0.07376837730407715, 'recognition': 0.05898022651672363}
{'detection': 0.38257861137390137, 'recognition': 5.7220458984375e-06}
{'detection': 0.07278800010681152, 'recognition': 7.152557373046875e-06}
0.4273218238537015
0.5647715902917206
{'detection': 0.07919836044311523, 'recognition': 0.13909101486206055}
{'detection': 0.11929917335510254, 'recognition': 5.4836273193359375e-06}
{'detection': 0.07897496223449707, 'recognition': 5.4836273193359375e-06}
0.4711177812541402
0.5337679778559268
{'detection': 0.0794215202331543, 'recognition': 0.14696788787841797}
{'detection': 0.108734130859375, 'recognition': 7.3909759521484375e-06}
0.41300611446201996
{'detection': 0.07824039459228516, 'recognition': 0.0620725154876709}
0.5549122509777016
{'detection': 0.11057066917419434, 'recognition': 0.05892682075500488}
0.4275592810466289
0.5071784418596273
{'detection': 0.10306692123413086, 'recognition': 0.14447546005249023}
0.36193813490148086
0.4978498703630051
{'detection': 0.08612632751464844, 'recognition': 0.1426541805267334}
0.35702999477757896
0.5091730821600561
{'detection': 0.08605170249938965, 'recognition': 0.1472187042236328}
0.33864089656818513
0.5411733559059985
{'detection': 0.09076738357543945, 'recognition': 0.14164400100708008}
0.40547920510700836
{'detection': 0.11801648139953613, 'recognition': 0.05620217323303223}
0.4539381475736808
0.4513501888005354
{'detection': 0.08321237564086914, 'recognition': 0.1426224708557129}
0.3806483452550136
{'detection': 0.12076926231384277, 'recognition': 0.0639340877532959}
0.3550493604203874
0.48074072914496824
0.5176841962931383
{'detection': 0.12032294273376465, 'recognition': 0.22596526145935059}
0.4559518034393377
{'detection': 0.12107086181640625, 'recognition': 0.06373357772827148}
0.5238714481424003
0.44987428044014605
0.4561861906083159
{'detection': 0.0969996452331543, 'recognition': 0.22657251358032227}
0.2915228774113924
0.4675464536757656
{'detection': 0.08634209632873535, 'recognition': 0.1321249008178711}
0.3824886243705175
{'detection': 0.08470368385314941, 'recognition': 0.058840274810791016}
0.4930220750597933
0.6079633074597127
{'detection': 0.36200547218322754, 'recognition': 0.16293954849243164}
0.4861358858086653
0.415187282577657
{'detection': 0.38387250900268555, 'recognition': 0.148301362991333}
0.3370225379228179
0.43541145164832945
0.41843753945963097
{'detection': 0.08777141571044922, 'recognition': 0.21991848945617676}
0.48547274754526093
0.3608421479828304
0.5411170484738667
{'detection': 0.09000873565673828, 'recognition': 0.22276616096496582}
0.4293409106822806
0.40023155086997203
0.5176122281299492
{'detection': 0.08578801155090332, 'recognition': 0.22199010848999023}
0.46026525983483985
0.34742155511430145
0.4841092757062983
0.4768809975245433
{'detection': 0.0874330997467041, 'recognition': 0.29964232444763184}
0.3667911885235007
{'detection': 0.08675837516784668, 'recognition': 0.056163787841796875}
0.4297067261688277
0.3749252170650684
{'detection': 0.08443164825439453, 'recognition': 0.14147377014160156}
0.40921588094671524
{'detection': 0.08272743225097656, 'recognition': 0.059218406677246094}
0.4897507906736178
0.36532550830185234
0.3991131556228793
{'detection': 0.35594940185546875, 'recognition': 0.21817541122436523}
0.3819247904887323
0.4420779135420788
0.3302378084943054
0.40096804386068075
{'detection': 0.08821845054626465, 'recognition': 0.2989077568054199}
0.4198984613205685
0.43329053711062177
{'detection': 0.1030886173248291, 'recognition': 0.2695474624633789}
0.41432078236284986
0.42945654553861884
0.4541332160585556
0.4385079600336001
{'detection': 0.39678192138671875, 'recognition': 0.3419163227081299}
0.41917755731749323
0.42051219733878814
0.4382688333553492
{'detection': 0.10339903831481934, 'recognition': 0.21845459938049316}
0.39791181350189714
0.45954603675338956
0.41720240588103735
{'detection': 0.11557555198669434, 'recognition': 0.22780466079711914}
0.3917469202755203
0.4717194278820913
0.3455055722470874
{'detection': 0.1111900806427002, 'recognition': 0.22185969352722168}
0.505470376227865
0.5441760809863733
{'detection': 0.1210179328918457, 'recognition': 0.14374470710754395}
0.4216951839206692
0.3208351473099308
{'detection': 0.12610197067260742, 'recognition': 0.15444588661193848}
0.4382500779894908
0.40814609129233675
{'detection': 0.11967611312866211, 'recognition': 0.1351163387298584}
0.39441927007058997
0.4606941952392133
{'detection': 0.11514067649841309, 'recognition': 0.14110565185546875}
0.3782903491911259
0.347743902549753
{'detection': 0.11665463447570801, 'recognition': 0.14350581169128418}
0.44571179127946786
0.4641240068220993
{'detection': 0.12260627746582031, 'recognition': 0.14111948013305664}
0.41331681263853315
0.4994118451628485
{'detection': 0.11533427238464355, 'recognition': 0.14728045463562012}
0.3624066466080915
0.45629176433982377
{'detection': 0.1267375946044922, 'recognition': 0.14672374725341797}
0.37002480116798986
0.42785517063754785
0.4943019028795682
{'detection': 0.12533307075500488, 'recognition': 0.2283768653869629}
0.3760464859905791
0.517088411387204
{'detection': 0.10983085632324219, 'recognition': 0.14041471481323242}
0.44199295243576964
0.49974766410441696
{'detection': 0.10928630828857422, 'recognition': 0.14381957054138184}
0.4329816893099493
0.47591206445028683
{'detection': 0.1128997802734375, 'recognition': 0.13682270050048828}
0.48709585802867433
{'detection': 0.11816668510437012, 'recognition': 0.06255769729614258}
0.38640672451063024
